n, time
76400, 7.986000
76500, 7.862000
76600, 7.858000
76700, 7.877000
76800, 7.974000
76900, 8.382000
77000, 7.900000
77100, 8.439000
77200, 8.772000
77300, 8.775000
77400, 8.294000
77500, 7.983000
77600, 8.248000
77700, 8.480000
77800, 8.204000
77900, 8.298000
78000, 8.331000
78100, 8.213000
78200, 8.246000
78300, 8.359000
78400, 8.404000
78500, 9.085000
78600, 9.221000
78700, 9.315000
78800, 8.986000
78900, 8.354000
79000, 8.468000
79100, 8.568000
79200, 9.452000
79300, 8.694000
79400, 8.816000
79500, 9.161000
79600, 8.794000
79700, 8.801000
79800, 9.047000
79900, 10.163000
80000, 9.051000
80100, 8.747000
80200, 9.251000
80300, 8.827000
80400, 8.858000
80500, 8.850000
80600, 8.932000
80700, 9.695000
80800, 9.021000
80900, 9.469000
81000, 9.139000
81100, 9.508000
81200, 10.190000
81300, 10.108000
81400, 9.925000
81500, 9.458000
81600, 9.982000
81700, 8.843000
81800, 9.537000
81900, 9.315000
82000, 9.455000
82100, 9.834000
82200, 9.473000
82300, 10.796000
82400, 9.888000
82500, 9.824000
82600, 10.230000
82700, 10.870000
82800, 9.770000
82900, 10.562000
83000, 10.055000
83100, 11.088000
83200, 10.666000
83300, 10.354000
83400, 10.223000
83500, 9.915000
83600, 11.142000
83700, 10.469000
83800, 10.395000
83900, 10.387000
84000, 10.159000
84100, 10.402000
84200, 11.382000
84300, 10.107000
84400, 10.647000
84500, 10.033000
84600, 10.248000
84700, 10.727000
84800, 10.590000
84900, 10.144000
85000, 10.198000
85100, 10.520000
85200, 10.424000
85300, 10.454000
85400, 10.654000
85500, 10.862000
85600, 10.640000
85700, 10.647000
85800, 10.202000
85900, 11.677000
86000, 10.773000
86100, 10.448000
86200, 10.369000
86300, 10.506000
86400, 10.701000
86500, 10.972000
86600, 11.125000
86700, 11.273000
86800, 11.107000
86900, 13.231000
87000, 12.445000
87100, 11.420000
87200, 11.790000
87300, 11.074000
87400, 11.846000
87500, 10.657000
87600, 10.703000
87700, 10.673000
87800, 11.051000
87900, 11.384000
88000, 11.700000
88100, 11.088000
88200, 10.969000
88300, 11.232000
88400, 11.901000
88500, 12.742000
88600, 14.006000
88700, 12.543000
88800, 75539.831000
88900, 13.235000
89000, 13.591000
89100, 10.863000
89200, 11.306000
89300, 13.314000
89400, 10.758000
89500, 11.161000
89600, 10.747000
89700, 10.604000
89800, 10.896000
89900, 12.072000
90000, 11.083000
90100, 11.251000
90200, 11.028000
90300, 11.084000
90400, 11.572000
90500, 11.852000
90600, 11.819000
90700, 13.448000
90800, 15.149000
90900, 15.337000
91000, 11.994000
91100, 12.837000
91200, 11.274000
91300, 11.490000
91400, 11.819000
91500, 11.870000
91600, 11.834000
91700, 12.711000
91800, 11.643000
91900, 11.281000
92000, 11.440000
92100, 11.994000
92200, 12.660000
92300, 12.186000
92400, 11.737000
92500, 11.761000
92600, 12.067000
92700, 12.328000
92800, 12.613000
92900, 11.780000
93000, 11.711000
93100, 11.797000
93200, 12.542000
93300, 12.976000
93400, 11.995000
93500, 11.964000
93600, 12.033000
93700, 12.432000
93800, 12.134000
93900, 12.624000
94000, 12.140000
94100, 12.411000
94200, 11.770000
94300, 12.995000
94400, 12.962000
94500, 12.727000
94600, 12.026000
94700, 12.121000
94800, 12.565000
94900, 12.558000
95000, 12.217000
95100, 12.751000
95200, 12.145000
95300, 13.131000
95400, 13.348000
95500, 13.222000
95600, 13.887000
95700, 13.205000
95800, 14.839000
95900, 14.397000
96000, 12.945000
96100, 12.651000
96200, 12.438000
96300, 12.989000
96400, 13.292000
96500, 12.498000
96600, 12.670000
96700, 12.659000
96800, 13.023000
96900, 13.286000
97000, 15.354000
97100, 12.990000
97200, 12.719000
97300, 13.070000
97400, 13.287000
97500, 12.838000
97600, 12.802000
97700, 12.888000
97800, 13.233000
97900, 13.415000
98000, 12.898000
98100, 12.931000
98200, 12.961000
98300, 13.266000
98400, 13.448000
98500, 12.981000
98600, 13.082000
98700, 12.983000
98800, 13.948000
98900, 14.746000
99000, 13.454000
99100, 13.097000
99200, 13.245000
99300, 13.842000
99400, 13.844000
99500, 13.332000
99600, 13.227000
99700, 13.374000
99800, 13.765000
99900, 13.825000
100000, 13.369000
